Price,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
Ticker,INFY.NS,RELIANCE.NS,TCS.NS,INFY.NS,RELIANCE.NS,TCS.NS,INFY.NS,RELIANCE.NS,TCS.NS,INFY.NS,RELIANCE.NS,TCS.NS,INFY.NS,RELIANCE.NS,TCS.NS
Date,,,,,,,,,,,,,,,
2025-09-04,1410.4202880859375,1353.0440673828125,2988.608154296875,1430.665555379037,1367.6763641601647,3010.136761338951,1407.6244895421655,1350.8541196588233,2983.877757833792,1430.665555379037,1365.4865379446771,3008.205948791588,5787724,13223177,1481391
2025-09-05,1392.681396484375,1368.671875,2942.84765625,1419.771465639559,1374.6442613636364,2996.0413944584525,1381.4983212585462,1353.0441792852228,2923.8292019621163,1417.1685500698275,1356.7271022727273,2989.959524182405,5466487,5777575,2802055
2025-09-08,1381.402099609375,1372.15576171875,2914.561279296875,1405.5999908675153,1379.6212446443146,2958.8733290135365,1376.967445534214,1366.0838599076599,2911.6650607351357,1398.8515684147906,1373.6488583038629,2944.4888711015133,3811567,6986720,2626187
2025-09-09,1450.2359619140625,1369.8662109375,2943.909423828125,1453.0316426482493,1374.843199236951,2954.1428233110028,1419.5787971834648,1362.4007284883235,2925.9530108288373,1427.7733097648295,1370.2643943031567,2927.208085964641,13072640,9754452,2489301
2025-09-10,1477.518798828125,1370.66259765625,3002.413330078125,1479.7361846012639,1382.1096709119122,3014.6739418754814,1455.056264347903,1367.7759200987732,2947.7712440051832,1455.8274419814547,1377.5308659113482,2950.667462651561,7281071,7790815,2079428
2025-09-11,1455.4417724609375,1376.9337158203125,3016.1220703125,1472.6020926929066,1379.1235422027225,3030.4101295308183,1452.3568266067848,1368.6718661340626,3002.5099840051885,1469.1314991861996,1369.6672638548873,3030.4101295308183,8003662,9766072,2263446
2025-09-12,1470.7703857421875,1388.579833984375,3025.00390625,1487.4486761823323,1389.873899637371,3039.7746692912174,1466.4321143461764,1374.146566892781,3013.032962803265,1481.7606968153777,1376.9337291414593,3035.23730697003,12856963,7403368,1447167
2025-09-15,1454.1885986328125,1392.8599853515625,3004.247314453125,1472.6021270614033,1394.3530818320328,3025.5828847209655,1447.2472937742573,1382.2091575524387,2988.897450892185,1470.7703889313757,1386.5889315301856,3025.5828847209655,6167414,5396697,1732539
2025-09-16,1456.9844970703125,1398.8323974609375,3036.87841796875,1459.5874130189484,1401.5199225726963,3041.029712016194,1449.4647790449067,1391.7649767809332,3001.5446903508278,1454.18869843609,1398.2350616507645,3019.79077434497,8923112,8686961,2573429
2025-09-17,1467.685546875,1407.2933349609375,3063.040771484375,1471.830935901443,1409.6821922648512,3072.308529384687,1459.58741614181,1400.4250664409112,3033.692282229551,1462.3832147820146,1400.5245819104894,3042.9602758247306,4795698,7519417,2418271
2025-09-18,1485.2313232421875,1408.4876708984375,3066.805908203125,1499.1138155530703,1415.4554544293837,3092.1961390627853,1483.2068200825713,1404.2074124117412,3052.035145819797,1494.2935138953433,1413.8628424954393,3074.8188270106057,9331945,9332642,2633138
2025-09-19,1484.845703125,1400.9227294921875,3059.565185546875,1495.546867150236,1410.4785229891424,3070.474322402291,1465.4681136380061,1397.1401696768169,3035.2369972120114,1489.0875921991392,1408.3882121473878,3060.337557621526,12988129,13461373,4901694
2025-09-22,1445.6083984375,1384.199951171875,2967.465576171875,1460.2620677071914,1404.2074196840813,2999.420379452393,1428.7373434373958,1381.6119415772491,2958.96995461183,1429.4121385641438,1397.4387885526373,2987.93214013821,15655204,7757970,3634901
2025-09-23,1443.6802978515625,1383.40380859375,2956.459716796875,1458.6232324870878,1388.5798281670254,2974.1266965843156,1439.3420265057648,1370.4636381520502,2946.4195870560184,1439.3420265057648,1384.5982372618869,2963.79689785779,9832164,14014702,3177741
2025-09-24,1440.884521484375,1376.635009765625,2930.393798828125,1442.909024606748,1389.5751797778832,2951.2466664114318,1429.4121802134027,1374.0470000648747,2928.0769182943645,1433.7504516255494,1378.9244730635044,2944.4888232106205,4937004,5922759,1625714
2025-09-25,1431.436767578125,1366.0838623046875,2855.092041015625,1448.6933526456728,1378.128150477363,2924.794553291062,1423.4350200871756,1362.6994857374575,2848.913535961088,1435.4857737282794,1374.942926360271,2917.4573723057974,9491867,11411143,4974361
2025-09-26,1396.8270263671875,1371.2598876953125,2798.809326171875,1425.555953399892,1376.3363918134596,2852.5824066299083,1389.4036912657584,1359.7132983361805,2791.279110356836,1421.9889772759154,1365.685684712474,2839.2597533717444,8597058,9879109,3934636
2025-09-29,1389.982177734375,1366.48193359375,2795.912841796875,1412.3483294621576,1382.6073268149732,2827.964278797825,1384.872611107433,1361.7039763015719,2793.885394606466,1407.5280279964163,1375.2413599514077,2815.124329879908,10513117,14231999,3110035
2025-09-30,1389.982177734375,1357.722412109375,2788.479248046875,1400.0083106366037,1370.7620971908361,2814.448816935253,1386.4150840398418,1356.5279835173724,2785.2935960579534,1391.1390030128964,1370.7620971908361,2810.297523025748,7556305,14604684,2253458
2025-10-01,1393.83837890625,1362.4007568359375,2813.38671875,1397.405354815276,1372.255218175594,2823.620118812873,1376.099646484765,1356.4283707523282,2767.433524755383,1394.031143886091,1360.7086293823172,2790.989341906879,6250692,12045916,1952902
2025-10-03,1394.609619140625,1357.125244140625,2801.51220703125,1396.2485922754322,1365.287456651113,2822.8477787064007,1381.6911874663804,1350.6551591113212,2791.086008442819,1387.282784330546,1356.926091696157,2822.8477787064007,6877533,12842347,2899519
2025-10-06,1422.9530029296875,1368.671875,2885.019775390625,1425.6524188431904,1371.0608538471567,2890.040076154485,1390.4642178899833,1352.7455113636363,2795.4302691582598,1394.6096065704758,1353.740909090909,2801.608774520881,4630590,12396580,2112774
2025-10-07,1406.0819091796875,1378.4267578125,2870.828125,1429.6050033943986,1389.47564777439,2900.562680563452,1401.743637948074,1369.5676941462978,2853.2577807972316,1424.5918193613172,1369.667209612737,2891.3913224455114,5570320,11244040,3062943
2025-10-08,1441.2701416015625,1361.1068115234375,2922.4775390625,1444.1623224877194,1382.6073771032557,2937.7310038355854,1402.707729786136,1358.2201339506064,2865.325540382523,1404.6358503769075,1378.426755451918,2872.083383638142,4657192,8525081,4121889
2025-10-09,1455.0562744140625,1371.458984375,2955.7841796875,1459.5873108023447,1373.6488106871855,2959.9354735767624,1433.557682406266,1362.7989515764332,2915.5267874109013,1448.0185870707542,1367.676424553763,2929.042474504859,7028753,8826633,3211304
2025-10-10,1460.4549560546875,1375.3409423828125,2923.53955078125,1467.0104954131987,1381.6119964455866,2963.7969409179377,1444.933608930849,1368.7713419175536,2902.8797173331764,1455.7310370996563,1371.45898859096,2944.4888175243354,3738353,6373084,8817365
2025-10-13,1439.5347900390625,1368.671875,2903.169677734375,1450.6214834671307,1371.3594002602317,2930.4907222176985,1430.087069727637,1361.505059967041,2894.481021335113,1443.1982662450723,1370.5631549835205,2922.284768951729,5859355,7600682,2866865
2025-10-14,1436.353515625,1369.5677490234375,2857.89208984375,1459.9729938155936,1381.612037149334,2922.477671901626,1433.075686951717,1363.7943936365562,2853.2580928331454,1445.1264411305913,1373.6488553790207,2916.492200456414,5600789,9768174,3611416
2025-10-15,1421.41064453125,1367.97509765625,2877.756591796875,1435.1002548224249,1377.6304066718624,2887.349664986807,1414.7586043879573,1366.382364141153,2859.539215693528,1430.569218120133,1376.6350089791804,2878.9193527026337,6986098,10882743,4282226
2025-10-16,1418.61474609375,1391.8646240234375,2878.628662109375,1421.5069270236047,1394.0544503152107,2882.7954389661986,1408.0100826842827,1368.671809484766,2851.8842144350965,1420.9285143742625,1368.7713249510273,2877.8534092983937,8005748,12315932,3251495
2025-10-17,1389.307373046875,1410.279541015625,2870.391845703125,1405.9856644896408,1416.7496262080865,2896.1675207642234,1382.4625679694304,1392.6609284325848,2863.8025522629873,1402.6114532010124,1394.5522084059296,2877.950145926403,16959378,19335561,4374683
2025-10-20,1408.395751953125,1460.04931640625,2921.749267578125,1414.276496397426,1467.0170999313523,2929.307567962745,1397.8874708768014,1426.7034952504036,2886.186765192536,1401.4544470050912,1433.3726108781723,2892.9698128193104,6994246,24721978,3133039
2025-10-21,1419.482421875,1458.4566650390625,2913.512939453125,1432.5936185349226,1467.2162134241023,2937.8351067763124,1417.1686535978035,1453.2806455896807,2903.1446131495227,1424.881136066363,1461.2438272093502,2937.1568492749448,1698704,2066169,310644
2025-10-23,1473.566162109375,1441.7340087890625,2977.951904296875,1490.4372172856354,1476.0752283864208,3001.9833223001874,1451.8748054541832,1437.9514490416038,2942.001890896718,1455.7310466373283,1468.2115624957596,2960.3160263483123,20358624,18707090,5564758
2025-10-24,1470.57763671875,1444.9193115234375,2968.26171875,1487.5450748262833,1453.0816457634617,2994.231149497321,1463.4435668090073,1434.3681199531734,2963.513679841537,1484.1708637038648,1443.3266994671071,2984.541081052346,8652257,9700837,2684318
2025-10-27,1472.633056640625,1477.2696533203125,2989.2890625,1483.2043487095048,1478.16553552233,2998.300873295387,1466.3685916918344,1451.289798512833,2965.3546412157716,1478.0165606695539,1456.266786847925,2971.4594315335457,7273211,14113867,1946312
2025-10-28,1468.4241943359375,1480.056884765625,2963.1259765625,1474.5908017388306,1485.1333888036675,2994.424945391891,1458.9296979699484,1470.79963742504,2945.974602490029,1467.9347848431598,1477.26972256393,2980.6650953225503,8211019,17631577,3470737
2025-10-29,1478.408203125,1497.277099609375,2962.83544921875,1488.0005573851865,1501.3583271895798,2980.665080689528,1465.1941469679696,1481.2512217130793,2951.691870406029,1468.4241778932897,1483.1425015536738,2963.125962015583,4884976,11884745,2895420
2025-10-30,1462.1597900390625,1481.6494140625,2941.226318359375,1476.2546872805226,1496.1821955688695,2968.8430115115416,1457.5592692997866,1477.1701246011085,2938.8038014162025,1475.0801523386458,1493.0964871305005,2954.598659200471,5608867,9318663,2241536
2025-10-31,1450.9034423828125,1479.5592041015625,2963.222900390625,1465.3898918009988,1490.6080945575152,2972.3314700068563,1449.3372364048548,1475.4780977270138,2931.342670159881,1458.4403008415877,1483.540795005222,2940.9357431934422,4819814,8758053,1868085
2025-11-03,1454.0355224609375,1477.866943359375,2923.2998046875,1459.8105780526128,1488.1195884585134,2963.2228381217715,1442.974820743242,1472.4918928888083,2916.710511035491,1450.9033496746388,1479.1610089962214,2952.4667678534975,5470600,8452085,2194877
2025-11-04,1436.808349609375,1466.3203125,2897.5244140625,1450.511814804534,1485.9297198935935,2935.412678861251,1431.9142548968182,1463.334119430687,2883.764563259587,1448.3583414401685,1477.07065615293,2926.0133591519766,8691330,10007806,2670720
2025-11-06,1435.6336669921875,1489.2144775390625,2917.582763671875,1451.58846323567,1494.6891648996161,2930.276848617888,1430.9354078512456,1469.406038969176,2897.330614208824,1447.2816360762577,1477.1701896475465,2897.4276095278424,7944752,16772678,2542721
2025-11-07,1445.5198974609375,1471.19775390625,2899.074951171875,1449.533031326473,1491.5038906434634,2910.896788283535,1418.4065403991735,1469.1074431042953,2868.7449872547954,1438.8638806951196,1487.7213309001133,2907.989767522932,8765759,7821765,1830520
2025-11-10,1481.4425048828125,1482.44580078125,2931.439453125,1487.8048281611332,1494.0919049344996,2953.4358611387806,1458.4402591842686,1468.7092643110286,2899.2684732632038,1458.5381171839108,1471.0982430243503,2900.237480105872,9787975,7068438,1556656
